0
GRWG
JUSHF
CRLBF
HRVSF
MJ
CURLF
CGC
CRON
MEDIF
SNE
XRX
CSCO
SIRI
ROKU
ATVI
EA
VZ
T
TMUS
AMAT
TXN
MU
FB
MSFT
SNAP
AMZN
TWTR
AMD
QCOM
AVGO
AAPL
INTC
NVDA
NFLX
AXP
V
MA
JPM
DFS
MS
BAC
GS
SQ
PYPL
GDOT
NGG
PCG
RDS-B
OXY
MRO
DD
CVX
DOW
XOM
PSX
COP
HAL
PLUG
LUV
MAR
ABNB
CCL
RCL
DIS
AAL
JBLU
SAVE
DAL
HLT
DRI
GIS
NKE
PG
SHAK
GRUB
KDP
PEP
KO
K
QSR
CMG
YUM
BGS
ACI
DAR
KR
GE
GOOS
HD
LOW
LULU
DPZ
SBUX
MMM
WMT
TGT
COST
JACK
MCD
UBER
GME
CVS
RAD
UNH
LLY
JNJ
BMY
AZN
MRK
ABBV
GILD
PFE
GD
LMT
NOC
BA
CAT
WM
HMC
TM
F
TSLA
GM
ISR
